제목,설명,한글
ㄱ[기역],한글 자모의 첫째 글자.,기역
가감 (加減),더하거나 뺌.,기역
가건물(假建物),임시로 지은 건물.,기역
가게,작은 규모로 물건을 파는 곳.,기역
가격(價格),물건의 가치를 돈으로 나타낸 것.,기역
가결(可決),회의에서 제출된 의안을 인정하고 좋다고 결정함.,기역
가계(家計),가정의 수입과 지출 상태.,기역
가곡(歌曲),우리나라 전통 성악곡의 하나. 서양 음악에서 시에 곡을 붙인 성악곡.,기역
가공(加工),원자재나 반제품에 기술과 힘을 들여 새로운 제품을 만들거나 제품의 질을 높임.,기역
가구(家具),집안 생활에 필요한 여러 가지 기구.,기역
가구주(家口主),한 가구의 법적인 대표가 되는 사람.,기역
가까스로,애 써서 겨우. 간신히.,기역
가깝다¹,어느 한 곳에서 다른 곳까지의 거리가 짧다.,기역
가깝다²,서로의 사이가 친밀하다.,기역
가꾸다¹,생물이 잘 자라도록 손질하고 보살피다.,기역
가꾸다²,꾸미다. 치장하다.,기역
가끔,시간적·공간적 간격이 얼마쯤씩 뜨게.,기역
가나(Ghana),아프리카 서부 기니 만에 인접한 공화국.,기역
가나안(Canaan),팔레스타인 요르단 강 서쪽 지역의 옛 이름.,기역
가난,형편이 넉넉하지 못하고 쪼들림.,기역
가냘프다,몸이나 팔다리가 몹시 가늘고 연약하다.,기역
가늘다,물체의 굵기나 너비가 얇거나 좁다.,기역
가능(可能),할 수 있거나 될 수 있음.,기역
가다,한 곳에서 다른 곳으로 움직이다.,기역
가다듬다,"정신, 생각, 마음 따위를 바로 잡거나 정리하다.",기역
가담(加擔),같은 편이 되어 일을 함께 하거나 도와줌.,기역
가두다,일정한 장소에 넣고 밖으로 나오지 못하게 하다.,기역
가득하다,분량이나 수효가 어떤 범위나 한도에 꽉 차다. 가득히.,기역
가라앉다¹,액체 표면에 떠 있거나 섞여 있는 것이 밑바닥으로 내려 앉다.,기역
가라앉다²,호흡이나 마음의 흥분이 안정되다.,기역
가랑비,가늘게 내리는 비.,기역
가랑잎,활엽수의 떨어진 마른 잎.,기역
가래,목구멍에 생기는 끈적끈적한 분비물.,기역
가래떡,가는 원통형으로 길게 뽑아 일정한 길이로 자른 흰떡.,기역
가래침,가래가 섞인 침.,기역
가련하다,가엾고 불쌍하다.,기역
가렵다,피부에 긁고 싶은 느낌이 있다.,기역
가령(假令),어떠한 일을 가정(假定)하여 말하여.,기역
가로,왼쪽에서 오른 쪽으로 나 있는 방향.,기역
가로등(街路燈),거리의 조명. 또는 교통의 안전을 위해 길가에 설치한 조명등.,기역
가로수(街路樹),길을 따라 줄지어 심은 나무.,기역
가로채다,옆에서 갑자기 쳐서 빼앗다.,기역
가루,잘게 부수거나 갈아서 만든 것.,기역
가루약,가루로 된 약.,기역
가르다,나누다.,기역
가르마,머리카락을 양쪽으로 갈랐을 때 생기는 금.,기역
가르치다,"지식이나 기능, 이치 따위를 깨닫거나 배우게 하다.",기역
가리키다,손가락 따위로 어떤 방향이나 대상을 접어서 보이거나 알리다.,기역
가마,옛날에 사람이 안에 타고 둘이나 넷이 들거나 메던 조그만 집 모양의 탈것.,기역
가마니,곡식이나 소금 따위를 담기 위하여 짚으로 짠 큰 자루.,기역
가마솥,크고 우묵한 솥.가마.,기역
가만있다,몸을 움직이거나 관계하지 않고 조용히 있다.,기역
가만히,움직이지 않거나 아무 말 없이.,기역
가망(可望),될 만하거나 가능성이 있는 희망.,기역
가매장(假埋葬),시체를 임시로 묻음.,기역
가면(假面),"얼굴을 감추거나 달리 꾸미기 위하여 나무, 종이, 흙 따위로 만든 얼굴의 형상.",기역
가명(假名),실제의 자기 이름이 아닌 이름.,기역
가무(歌舞),노래와 춤.,기역
가물거리다,멀리 있는 물체가 보일 듯 말 듯 희미하다.,기역
가뭄,오랫동안 계속하여 비가 내리지 않아 메마른 날씨.,기역
가발(假髮),머리털이나 이와 유사한 것으로 머리 모양을 만들어 쓰는 것.,기역
가방,물건을 넣어 들거나 메고 다닐 수 있게 만든 용구.,기역
가볍다,무게가 일반적이거나 기준이 되는 대상의 것보다 적다.,기역
가불(假拂),봉급의 일부 또는 전액을 기일 전에 임시로 지급하는 일. 또는 그 돈.,기역
가쁘다,몹시 숨이 차다.,기역
가사(家事),가정 살림에 관한 일.,기역
가사(假死),의식불명이 되어 호흡이 멈춰지고 맥박이 미약해져 얼핏 보기에 죽은 것 같이 보이는 상태.,기역
가사(歌詞),"가곡, 가요, 오페라 따위로 불려질 것을 전제로 하여 쓰여진 글.",기역
가산(加算),더하여 셈함.,기역
가산(家産),한 집안의 재산.,기역
가설(架設),"전깃줄이나 전화선, 교량 따위를 공중에 건너질러 설치함.",기역
가설(假設),임시로 설치함.,기역
가설(假說),어떤 현상이나 사실의 원인을 설명하거나 어떤 이론 체계를 규정하기 위하여 가정적으로 설정한 명제.,기역
가솔린(gasoline),석유의 휘발 성분을 이루는 무색의 액체.,기역
가수(歌手),노래 부르는 것이 직업인 사람.,기역
가스(gas),기체 물질을 통틀어 이르는 말.,기역
가슴,배와 목 사이의 부분.,기역
가시,바늘처럼 뾰족하게 돋친 것.,기역
가야금(伽倻琴),"오동나무로 길게 만든 공명관 위에 열 두 줄을 세로로 매어, 각 줄을 기러기 발로 받친 우리나라 고유의 현악기.",기역
가열(加熱),어떤 물질에 열을 가함.,기역
가엾다,마음이 아플 만큼 딱하고 불쌍하다.,기역
가옥(家屋),사람이 사는 집.,기역
가운(家運),집안의 운수.,기역
가운데,"일정한 선, 공간이나 입체를 갖는 사물에서, 한쪽으로 치우치지 않고 양끝에서 거의 같은 거리에 있는 부분.",기역
가위,"옷감, 종이, 머리털 따위를 자르는 기구.",기역
가을,한 해의 네 철 가운데 셋째 철.,기역
가입(加入),조직이나 단체 따위에 들어가거나 참석함.,기역
가장,여럿 가운데 어느 것보다 정도가 높거나 세게.,기역
가장(家長),한 가정을 이끌어 나가는 사람.,기역
가정(家庭),가족이 생활하는 공동체.,기역
가정방문(家庭訪問),"교사가 학생의 가정환경을 이해하고 학부모의 협조를 위하여, 학생의 가정을 방문하는 일.",기역
가정부(家政婦),일정한 보수를 받고 집안일을 해 주는 여자.,기역
가져가다,한 곳에서 다른 곳으로 옮겨가다.,기역
가져오다,어떤 것을 한 지점에서 다른 지점으로 옮겨오다.,기역
가족(家族),"부모, 부부, 형제, 자매, 자녀 등 혈연에 의해 맺어져 생활하는 공동체. 또는 구성원.",기역
가죽,동물의 몸을 싸고 있는 질긴 껍질.,기역
가지¹,주로 삶아서 나물로 먹는 짙은 보랏빛의 긴 열매.,기역
가지²,나무나 풀의 원줄기에서 뻗어 나온 줄기.,기역
가지다,손에 쥐고 있거나 몸에 지니다.,기역
가짜(假-),진짜처럼 꾸민 것.,기역
가축(家畜),집에서 기르는 짐승.,기역
가치(價値),사물이 지니고 있는 중요성.,기역
가톨릭(Catholic),천주교.,기역
각(角),두개의 직선이나 면이 만나 이루어지는 모서리.,기역
각각(各各),제각기. 따로따로.,기역
각서(覺書),약속을 지키겠다는 내용을 적은 문서.,기역
각오(覺悟),앞으로 해야 할 일이나 겪을 일에 대한 마음을 작정함.,기역
각자(各自),각각의 사람.,기역
각처(各處),각각의 여러 곳.,기역
간(肝),가로막 바로 밑의 오른쪽에 있는 기관.,기역
ㄴ [니은],한글 자모의 둘째 글자.,니은
나,말하는 이가 대등한 관계에 있는 사람이나 아랫사람을 상대하여 자기를 가리키는 일인칭 대명사.,니은
나가다,일정한 지역이나 공간의 범위와 관련하여 안에서 밖으로 이동하다.,니은
나그네,자기 고장을 떠나 다른 곳에 잠시 머물거나 떠도는 사람.,니은
나날이,날로.,니은
나누기(除),어떤 수를 다른 수로 나누는 것.,니은
나누다,하나를 둘 이상으로 가르다.,니은
나눗셈,어떤 수로 다른 수를 나누는 셈법.,니은
나다,어떤 현상이나 사건이 일어나다.,니은
나라,한 국토에서 하나의 주권 아래 있는 사람들의 조직.,니은
나란하다,여럿이 줄지어 늘어선 모양이 가지런하다. 나란히.,니은
나루터,나룻배가 닿고 떠나는 일정한 곳.,니은
나르다,물건을 한 곳에서 다른 곳으로 옮기다.,니은
나막신,나무를 파서 만든 것으로 앞뒤에 높은 굽이 있는 신.,니은
나머지,어떤 양을 채우고 남은 부분.,니은
나무,줄기나 가지가 크고 단단한 여러해살이 식물.,니은
나무꾼,산에서 땔나무를 모으는 사람.,니은
나무라다,잘못을 꾸짖어 알아듣도록 말하다.,니은
나물,사람이 먹을 수 있는 풀이나 나뭇잎 따위 또는 그것으로 만든 음식을 통틀어 이르는 말.,니은
나뭇잎,나무의 줄기나 가지에 달린 잎.,니은
나방,나비와 비슷하나 주로 밤에 날아다니며 식물에 해를 끼치는 알을 낳는 곤충.,니은
나병,사람의 살갗이 헐고 곪으며 손가락과 얼굴 신경이 마비되는 전염병.,니은
나비,가는 몸통에 갖가지 무늬를 가지며 낮에 활동하는 곤충.,니은
나비넥타이(-necktie),날개를 편 나비 모양으로 매듭을 지은 넥타이.,니은
나쁘다,좋지 아니하다.,니은
나사(螺絲),"몸 표면에는 소라 껍데기처럼 비틀리어 홈이 나 있고, 머리에는 드라이버로 돌릴 수 있도록 홈이 나 있는 못.",니은
나서다,앞이나 밖으로 나와 서다.,니은
나선(螺旋),물체의 겉모양이 소라 껍데기처럼 비틀린 것.,니은
나아가다,앞으로 향해 가다.,니은
나오다¹,안에서 밖으로 오다.,니은
나오다²,속에서 바깥으로 솟아나다.,니은
나이,사람이나 동·식물 따위가 세상에 나서 살아온 햇수.,니은
나이지리아(Nigeria),아프리카 서부 기니만에 면한 연방 공화국.,니은
나중,얼마의 시간이 지난 뒤.,니은
나체(裸體),벌거벗은 몸.,니은
나침반(羅針盤),자석으로 된 바늘로 방위를 알 수 있게 하는 기구.,니은
나타나다,보이지 아니하던 어떤 대상의 모습이 드러나다.,니은
나타내다,보이지 아니하던 어떤 대상이 모습을 드러내다.,니은
나태(懶怠),"행동, 성격 따위가 느리고 게으름.",니은
나팔(喇叭),금속으로 만든 관악기의 하나.,니은
나팔꽃,줄기는 덩굴져서 감기고 여름에 피는 나팔 모양의 꽃.,니은
나팔수(喇叭手),나팔 부는 일을 맡은 사람.,니은
낙(樂),살아가는 데서 느끼는 즐거움이나 재미.,니은
낙담(落膽),바라던 일이 뜻대로 되지 않아 마음이 몹시 상함.,니은
낙망(落望),희망을 잃고 몹시 실망함.,니은
낙서(落書),"글자, 그림 따위를 장난으로 아무 데나 함부로 씀.",니은
낙선(落選),심사나 선발에서 떨어짐.,니은
낙심(落心),바라던 일이 이루어지지 아니하여 마음이 상함.,니은
낙엽(落葉),말라서 떨어진 나뭇잎.,니은
낙오(落伍),대오에서 처져 뒤떨어짐.,니은
낙원(樂園),아무런 괴로움이나 고통이 없이 안락하게 살 수 있는 즐거운 곳.,니은
낙제(落第 ),성적이 일정한 수준이 못되어 진학이나 진급을 못함.,니은
낙지,오징어와 비슷하나 더 크고 8개의 긴 다리를 가진 바다 동물.,니은
낙타(駱駝),등에 혹이 나 있고 사막 지대에서 사람이 타거나 짐을 나르는 데 쓰이는 동물.,니은
낙태(落胎),태아를 모체에서 인공적으로 떼어 내어 없애는 것.,니은
낙하산(落下傘),비행 중인 항공기 따위에서 사람이나 물건을 안전하게 땅 위에 내리도록 하는 데 쓰는 기구.,니은
낚다,낚시로 물고기를 잡다.,니은
낚시,물고기를 잡는 데 쓰는 도구. 또는 그것으로 물고기를 낚는 일.,니은
낚시터,낚시질하는 곳.,니은
낚싯대,물고기를 잡는 가늘고 긴 대.,니은
낚아채다,무엇을 갑자기 세차게 잡아당기다.,니은
난(蘭),잎이 길고 향기가 좋아 주로 집 안에서 가꾸는 여러해살이 풀.,니은
난국(難局 ),일을 하기 어려운 상황이나 국면.,니은
난동(亂動),질서를 어지럽히며 마구 행동함.,니은
난로(暖爐),"석탄, 석유, 장작 등을 연료로 하여 공간을 따뜻하게 하는 기구.",니은
난리(亂離),전쟁이나 병란(兵亂).,니은
난방(暖房),건물의 안이나 방 안을 따뜻하게 함.,니은
난색(難色),꺼리거나 어려워하는 기색.,니은
난쟁이,보통 사람보다 키가 유난히 작은 사람.,니은
난처하다,이럴 수도 없고 저럴 수도 없어 처신하기 곤란하다.,니은
난치병(難治病),고치기 어려운 병.,니은
날,자정에서 다음 자정까지의 24시간.,니은
날개,새나 곤충의 몸 양쪽에 붙어서 날아다니는 데 쓰는 기관.,니은
날다,공중에 떠서 어떤 위치에서 다른 위치로 움직이다.,니은
날로,날이 갈수록.,니은
날리다,지녔던 것을 헛되게 잃어버리다.,니은
날마다,하루도 빠짐없이.,니은
날쌔다,동작이 가볍고 재빠르다.,니은
날씨,그 날의 기상 상태.,니은
날씬하다,키가 좀 크고 몸이 가늘어 맵시가 있다.,니은
날아가다,공중으로 날면서 가다.,니은
날짜,어느 해의 어느 달 며칠에 해당하는 그날.,니은
날치기,남의 물건을 잽싸게 채어 달아나는 짓이나 사람.,니은
날카롭다,끝이 뾰족하거나 날이 서 있다.,니은
낡다,물건 따위가 오래되어 헐고 너절하다.,니은
남,자기 이외의 다른 사람.,니은
남(男),남자.,니은
남(南),남쪽.,니은
남기다,‘남다’의 사동사.,니은
남녀(男女),남자와 여자를 아울러 이르는 말.,니은
남녀노소(男女老少),"남자와 여자, 늙은이와 젊은이란 뜻으로, 모든 사람을 이르는 말.",니은
남녀평등(男女平等),남녀 사이에 차별이 없음.,니은
남다,나머지가 있게 되다.,니은
남대문(南大門),‘숭례문’의 다른 이름.,니은
남동생,남자 동생.,니은
남루,옷 따위가 낡아 해지고 차림새가 너저분하다.,니은
남매(男妹),오빠와 누이를 아울러 이르는 말.,니은
ㄷ[디귿],한글 자모의 셋째 글자.,디귿
다,남거나 빠진 것이 없이 모두.,디귿
다가오다,어떤 대상이 있는 쪽으로 더 가까이 옮기어 오다.,디귿
다과(茶菓),차와 과자를 아울러 이르는 말.,디귿
다급하다,일이 바싹 닥쳐서 몹시 급하다. 다급히.,디귿
다니다,이리저리 오고 가고 하다.,디귿
다달이,달마다.,디귿
다람쥐,쥐와 비슷하나 긴 꼬리에 털이 많이 나 있고 몸에는 황갈색의 줄무늬가 있는 산짐승.,디귿
다르다,비교가 되는 두 대상이 서로 같지 아니하다.,디귿
다리¹,동물의 몸통 아래에 붙어 있는 신체의 부분.,디귿
다리²,물을 건너거나 또는 한쪽에서 다른 쪽으로 건너다닐 수 있도록 만든 시설물.,디귿
다리다,옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우기 위하여 다리미나 인두로 문지르다.,디귿
다리미,옷이나 천 따위의 주름이나 구김을 펴고 줄을 세우는 데 쓰는 도구.,디귿
다리미질,다리미로 옷이나 천 따위를 다리는 일. 다림질.,디귿
다만,다른 것이 아니라 오로지.,디귿
다물다,입술을 꼭 맞대다.,디귿
다방(茶房 ),차(茶)나 음료 따위를 판매하는 곳.,디귿
다수결(多數決),많은 사람의 의견에 따라 안건의 가부를 결정하는 일.,디귿
다스리다,"국가나 사회, 단체, 집안의 일을 보살펴 관리하고 통제하다.",디귿
다시,하던 것을 되풀이해서 또.,디귿
다양(多樣),여러 가지 모양이나 양식.,디귿
다음¹,어떤 차례의 바로 뒤.,디귿
다음²,일정한 시간이 지난 뒤.,디귿
다음³,어떤 일이 끝난 후나 말이나 글에서 바로 뒤따라오는 것.,디귿
다음주,다음에 오는 주.,디귿
다이빙(diving),"수영에서, 높은 곳에서 뛰어 머리를 먼저 물속에 잠기게 하여 들어가는 일을 겨루는 경기.",디귿
다이아몬드(diamond),팔면체의 결정으로 광물 중 제일 단단하고 광택이 매우 아름다운 보석.,디귿
다이얼(dial),전화기의 숫자 판.,디귿
다정(多情),정이 많음.,디귿
다짐,마음이나 뜻을 굳게 가다듬어 정함.,디귿
다치다,부딪치거나 맞거나 하여 신체에 상처를 입다.,디귿
다투다,의견이나 이해의 대립으로 서로 따지며 싸우다.,디귿
다행(多幸),뜻밖에 일이 잘되어 좋음.,디귿
닦다¹,더러운 것을 없애거나 윤기를 내려고 문지르다.,디귿
닦다²,치아를 문지르다.,디귿
단결(團結),많은 사람이 마음과 힘을 한데 뭉침.,디귿
단계(段階),일의 차례를 따라 나아가는 과정.,디귿
단교(斷交),나라 간 외교 관계를 끊음.,디귿
단기간(短期間),짧은 기간.,디귿
단념(斷念),품었던 생각을 아주 끊어 버림.,디귿
단단하다,쉽게 모양이 변하게 부서지지 않는 상태에 있다.,디귿
단독(單獨 ),단 한 사람. 혼자.,디귿
단련(鍛鍊),몸과 마음을 굳세게 닦음.,디귿
단속(團束),주의를 기울여 다잡거나 보살핌.,디귿
단순(單純),복잡하지 않고 간단함.,디귿
단어(單語),분리하여 자립적으로 쓸 수 있는 말이나 이에 준하는 말.,디귿
단점(短點),잘못되고 모자라는 점.,디귿
단정하다,옷차림새나 몸가짐 따위가 얌전하고 바르다.,디귿
단지(但只),다만.,디귿
단짝,서로 뜻이 맞거나 매우 친하여 늘 함께 어울리는 사이.,디귿
단체,여러 사람이 모여서 이루어진 집단.,디귿
단추,"옷 따위의 두 폭이나 두 짝을 한데 붙였다 떼었다 하는, 옷고름이나 끈 대신으로 쓰는 물건.",디귿
단풍(丹楓),기후 변화로 식물의 잎이 붉은빛이나 누런빛으로 변하는 현상.,디귿
단합(團合),한데 뭉침.,디귿
닫다,"열린 문짝, 뚜껑, 서랍 따위를 도로 제자리로 가게 하여 막다.",디귿
달¹,지구의 위성.,디귿
달²,한 해를 열둘로 나눈 것의 하나.,디귿
달걀,닭이 낳은 알.,디귿
달다¹,꿀이나 설탕의 맛과 같다.,디귿
달다²,기를 높이 매어 늘어뜨리다.,디귿
달다³,저울로 무게를 헤아리다.,디귿
달러(dollar),미국의 화폐 단위.,디귿
달력,"일 년 중의 달, 날, 요일 등을 날짜에 따라 적어 놓은 것.",디귿
달리다,달음질쳐 빨리 가거나 오다.,디귿
달아나다,위험을 피하여 도망가다.,디귿
달콤하다,감칠맛이 있게 달다.,디귿
달팽이,머리에 두 더듬이를 가지며 나선형 껍질 속에 사는 연체동물.,디귿
닭,"수컷은 벼슬이 크고 털색이 곱고 암컷은 알을 잘 낳는, 집에서 기르는 새.",디귿
닮다,사람 또는 사물의 생김새나 성질 따위가 서로 비슷하다.,디귿
담,"집의 둘레나 일정한 공간을 둘러막기 위하여 흙, 돌, 벽돌 따위로 쌓아 올린 것.",디귿
담당(擔當),어떤 일을 맡음.,디귿
담배,담뱃잎을 말려서 가공한 기호품.,디귿
담요,순수한 털이나 털에 솜을 섞은 것을 굵게 짜든가 두껍게 눌러서 만든 요.,디귿
담임(擔任),어떤 학급이나 학년 따위를 책임지고 맡아봄. 또는 그런 사람.,디귿
담화(談話),한 단체나 공적인 자리에 있는 사람이 어떤 문제에 대한 견해나 태도를 밝히는 말.,디귿
답(答),"‘대답(對答)’, ‘해답’, ‘회답’의 준말.",디귿
답답하다,애가 타고 갑갑하다.,디귿
답변(答辯),물음에 대하여 밝혀 대답함.,디귿
답장(答狀),회답하는 편지.,디귿
당구(撞球),네모난 대 위에 붉은 공과 흰 공을 놓고 채로 쳐서 맞히기를 하여 승부를 가리는 실내 오락.,디귿
당근,약간 단맛이 나는 원뿔 모양의 주황색 뿌리채소.,디귿
당기다,①물건 따위를 힘을 주어 자기 쪽이나 일정한 방향으로 가까이 오게 하다. ②정한 시간이나 기일을 앞으로 옮기거나 줄이다.,디귿
당나귀,말보다 조금 작고 귀가 길며 참을성이 강한 동물. 나귀.,디귿
당뇨병(糖尿病),소변에 당분이 많이 섞여 나오는 병.,디귿
당번(當番),어떤 일을 책임지고 돌보는 차례가 됨. 또는 그런 사람.,디귿
당분간(當分間),??앞으로 얼마 동안.,디귿
당선(當選),선거나 심사에서 뽑힘.,디귿
당신,듣는 이를 가리키는 이인칭 대명사.,디귿
당연하다(當然-),일의 앞뒤 사정을 놓고 볼 때에 마땅히 그러하다. 당연히(當然-).,디귿
당장(當場),일이 일어난 바로 직후의 빠른 시간.,디귿
당직(當直),근무하는 곳에서 숙직이나 일직 따위의 당번이 됨. 또는 그런 사람.,디귿
당황(唐惶),놀라거나 다급하여 어찌할 바를 모름.,디귿
닿다¹,어떤 물체가 다른 물체에 맞붙어 사이에 빈틈이 없게 되다.,디귿
닿다²,어떤 곳에 이르다.,디귿
대,막대가 길고 가늘며 속이 빈 물건을 통틀어 이르는 말.,디귿
대(代),한 집안에서 이어 내려오는 혈통과 계보.,디귿
대개(大槪),대부분.,디귿
대결(對決),양자(兩者)가 맞서서 우열이나 승패를 가림.,디귿
대구(大邱),영남 지방의 중앙부에 있는 광역시.,디귿
대기(待機),기회를 기다림.,디귿
대기권(大氣圈),지구를 둘러싸고 있는 대기의 범위.,디귿
대나무,잎이 가늘고 푸르며 줄기의 속은 비고 마디가 있는 키가 큰 식물.,디귿
대단하다,매우 심하다. 대단히.,디귿
대담(對談),마주 대하고 말함.,디귿
대답(對答),상대가 묻거나 요구하는 것에 대하여 해답이나 제 뜻을 말함.,디귿
대략,대충 어림잡아서.,디귿
대령(大領),"중령의 위, 준장의 아래인 계급. 또는 그 계급에 있는 사람.",디귿
대로,어떤 모양이나 상태와 같이. 그때마다.,디귿
대륙(大陸),넓고 큰 육지.,디귿
대리(代理),남을 대신하여 일을 처리함. 또는 그런 사람.,디귿
ㄹ [리을],한글 자모의 넷째 글자.,리을
라디오(radio),전파로 보내지는 방송을 받아서 들려주는 장치.,리을
라면,국수를 증기로 익히고 기름에 튀겨서 말린 즉석식품.,리을
라이터(lighter),가스나 석유를 이용하여 담뱃불을 붙이는 데 쓰이는 작은 기구.,리을
러닝셔츠(running shirt),운동할 때 입는 소매 없는 셔츠. 또는 그런 모양의 속옷.러닝.,리을
러시아(Russia),유럽 대륙의 동부에서 시베리아에 걸쳐 있는 나라.,리을
러시아워(rush hour),출퇴근이나 통학 따위로 교통이 몹시 혼잡한 시간.,리을
럭비(Rugby),각각 15명의 선수가 길쭉한 공을 상대편 문안에 차 넣거나 찍어 점수를 겨루는 경기.,리을
런던(London),영국 잉글랜드의 템스 강 양쪽 기슭에 위치한 항구 도시.,리을
레바논(Lebanon),아시아 서부 지중해에 면한 공화국.,리을
레슬링¹(wrestling),두 사람이 매트 위에서 서로 상대를 넘어뜨려 먼저 양 어깨와 등을 바닥에 닿게 하여 승부를 겨루는 서양 경기.,리을
레슬링²(wrestling),흥행을 목적으로 하는 레슬링. 프로레슬링.,리을
레이더(radar),목표 물체를 향하여 마이크로파를 발사하고 그 반사파를 받아서 물체의 상태나 위치를 수상관(受像管)에 비춤으로써 목표 물체를 찾아내는 장치.,리을
레코드(record),음성이나 음악 따위를 녹음한 둥글고 납작한 판.,리을
레크리에이션(recreation),피로를 풀고 새로운 힘을 얻기 위하여 함께 모여 놀거나 운동 따위를 즐기는 일.,리을
로또 복권,1～45번까지의 번호 중 6개를 선택하여 공정한 추첨 절차에 의해 선정된 번호와 일치하는 갯수에 따라 당첨금을 받을 수 있는 복권.,리을
로마(Roma),이탈리아 반도의 중서부에 있는 도시.,리을
로스앤젤레스(Los Angeles),캘리포니아 주 남서부에 있는 도시.,리을
로켓(rocket),고온 고압의 가스를 발생·분출시켜 그 반동으로 추진하는 장치.,리을
로프(rope),굵은 밧줄.,리을
루마니아(Romania),유럽 발칸 반도 동북부에 있는 공화국.,리을
룩셈부르크(Luxemburg),유럽 중부에 있는 입헌 군주국.,리을
류씨(柳氏),우리나라 성(姓)의 하나.,리을
리(里),약 393미터의 거리를 나타내는 단위.,리을
리더(leader),조직이나 단체 따위에서 전체를 이끌어 가는 위치에 있는 사람.,리을
리본(ribbon),모자나 선물 등 장식으로 쓰는 끈이나 띠 모양의 물건.,리을
리비아(Libya),아프리카 북부 지중해 연안에 있는 공화국.,리을
리투아니아(Lithuania),유럽 러시아 북서부 발트 해 연안에 있는 공화국.,리을
릴레이(relay),여러 명이 일정한 거리를 바통을 이어받아 달리는 경기.,리을
ㅁ[미음],한글 자모의 다섯째 글자.,미음
마가린(margarine),"우유에 식물이나 동물의 기름과 색소, 냄새, 소금 등을 넣어 만든 인조 버터.",미음
마감,하던 일을 끝냄.,미음
마구,아무렇게나 되는 대로.,미음
마귀(魔鬼),사람을 헤치고 괴롭히는 귀신.,미음
마녀(魔女),마술을 부려 사람에게 해를 끼친다는 여자.,미음
마늘,여러 쪽의 뿌리줄기가 둥글게 뭉쳐 있으며 매운 맛과 독특한 냄새가 있어 주로 양념에 쓰이는 채소.,미음
마다,‘하나도 빠짐없이’의 뜻을 나타내는 보조사.,미음
마당,집의 앞이나 뒤에 평평하게 닦아 놓은 땅.,미음
마디,"말, 글, 노래 따위의 한 도막.",미음
마땅하다,행동이나 대상 따위가 일정한 조건에 어울리게 알맞다.,미음
마라톤(marathon),한 번에 42.195킬로미터를 달리는 경기.,미음
마련,미리 준비하여 갖춤.,미음
마렵다,대소변을 누고 싶은 느낌이 있다.,미음
마루,집채 안에 바닥과 사이를 띄우고 깐 널빤지.,미음
마르다,물기가 다 날아가서 없어지다.,미음
마리아(그 Maria),예수의 어머니.,미음
마무리,일이나 행동의 끝을 맺음.,미음
마비(痲痺),몸의 일부나 전부가 감각이나 기능을 잃어버리는 것. 또는 그 상태.,미음
